label,binned_values,number_of_bins,probabilities
Kcnc1,"[3, 1, 1, 2, 2, 1, 1, 4, 3, 4, 3, 3, 1, 2, 2, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 2, 3, 1, 3, 1, 3, 2, 1, 3, 2, 1, 1, 1, 4, 4, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 5, 1, 3, 3, 1, 1, 2, 4, 1, 2, 1, 3, 1, 2, 1, 1, 1, 5, 4, 3, 1, 2, 1, 1, 3, 3, 1, 1, 1, 2, 1, 3, 2, 1, 1, 1, 4, 4, 1, 1, 1, 2, 1, 1, 2, 3, 2, 4, 2, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 2, 4, 4, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 4, 1, 1, 1, 2, 4, 2, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 4, 5, 1, 1, 1, 1, 2, 1, 1, 3, 4, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5,"[0.635, 0.14, 0.115, 0.09, 0.02]"
Col25a1,"[3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 4, 1, 3, 1, 1, 3, 3, 1, 1, 2, 4, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 3, 3, 4, 1, 1, 1, 4, 3, 1, 3, 1, 3, 1, 1, 1, 1, 1, 3, 4, 1, 1, 3, 1, 1, 3, 4, 2, 1, 1, 1, 2, 3, 1, 1, 1, 1, 2, 4, 1, 1, 1, 3, 1, 1, 1, 3, 1, 4, 1, 1, 1, 1, 3, 2, 1, 3, 4, 1, 1, 3, 1, 3, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 3, 1, 4, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 4, 1, 1, 1, 1, 1, 1, 2, 1, 1]",4,"[0.69, 0.095, 0.14, 0.075]"
Trp53i11,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,"[0.875, 0.07, 0.055]"
Abat,"[1, 1, 1, 1, 1, 1, 1, 4, 1, 4, 4, 3, 1, 1, 1, 1, 1, 2, 5, 1, 1, 1, 1, 3, 1, 1, 4, 1, 1, 3, 4, 3, 1, 3, 1, 4, 1, 1, 4, 4, 2, 2, 2, 5, 1, 1, 3, 2, 1, 2, 2, 4, 1, 1, 1, 1, 1, 2, 1, 1, 2, 3, 1, 4, 3, 4, 4, 1, 1, 4, 5, 1, 1, 1, 1, 1, 3, 2, 1, 1, 4, 5, 1, 2, 2, 2, 3, 3, 4, 1, 2, 1, 3, 1, 4, 1, 3, 1, 1, 3, 4, 1, 2, 1, 1, 1, 1, 1, 3, 2, 5, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 2, 2, 3, 1, 4, 3, 1, 1, 2, 1, 3, 1, 2, 2, 2, 1, 4, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 3, 3, 1, 3, 1, 4, 3, 1, 3, 1, 1, 1, 1, 1, 3, 1, 2, 4, 5, 1, 3, 1, 1, 1, 1, 1, 3, 4, 1, 1, 3, 1, 1, 1, 1, 1, 1, 4, 4, 1, 5, 2, 1, 1, 3, 1, 2, 1, 1, 3]",5,"[0.55, 0.145, 0.15, 0.12, 0.035]"
Rgs10,"[1, 2, 2, 1, 1, 1, 1, 2, 1, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 4, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 4, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 1, 2, 1]",4,"[0.765, 0.175, 0.045, 0.015]"
Rgs12,"[4, 1, 1, 1, 1, 1, 1, 2, 1, 2, 3, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 3, 1, 2, 1, 1, 1, 1, 4, 3, 1, 3, 1, 4, 1, 1, 2, 3, 1, 2, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 3, 1, 4, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 2, 3, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 3, 1, 1, 1, 1, 1, 1]",4,"[0.76, 0.11, 0.095, 0.035]"
Rasgrf2,"[2, 1, 1, 2, 1, 1, 1, 5, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 3, 1, 4, 1, 2, 1, 1, 3, 3, 1, 1, 1, 4, 1, 1, 2, 1, 1, 2, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 4, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 5, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 4, 1, 4, 1, 1, 2, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 3, 1, 4, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 3, 4, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 5, 1, 1, 1, 2, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 3, 1, 3, 1, 2, 1, 2, 1, 4, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5,"[0.73, 0.085, 0.085, 0.08, 0.02]"
Slc39a6,"[3, 1, 1, 1, 1, 1, 1, 3, 1, 2, 2, 4, 1, 2, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 4, 2, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 3, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 2, 1, 1, 2, 3, 1, 3, 1, 1, 1, 1, 1, 2, 1, 3, 3, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 3, 3, 1, 1, 3, 2, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 2, 4, 3, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 2, 3, 1, 3, 2, 1, 1, 1, 1, 1, 2, 1, 3, 4, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 3, 2, 1, 3, 3, 3, 2, 1, 3, 2, 3, 2, 2, 2, 2, 1, 2, 1, 1, 1]",4,"[0.635, 0.13, 0.215, 0.02]"
Rcan2,"[3, 2, 1, 1, 1, 1, 1, 3, 2, 3, 3, 2, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 3, 1, 1, 3, 2, 2, 1, 2, 2, 1, 3, 1, 1, 1, 2, 1, 3, 2, 1, 1, 4, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 2, 1, 1, 3, 1, 3, 1, 2, 2, 1, 1, 3, 3, 1, 1, 2, 1, 2, 3, 1, 1, 1, 3, 4, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 2, 1, 3, 1, 2, 2, 2, 3, 3, 3, 1, 2, 1, 1, 1, 2, 2, 1, 4, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 3, 3, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 2, 3, 4, 2, 2, 1, 1, 1, 1, 1, 3, 3, 2, 2, 1, 2, 1, 2, 1, 1, 1, 2, 3, 1, 3, 2, 1, 2, 2, 2, 1, 1, 1, 1]",4,"[0.59, 0.215, 0.165, 0.03]"
Gad1,"[3, 1, 1, 1, 1, 1, 1, 4, 1, 4, 3, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 3, 1, 3, 1, 3, 1, 1, 3, 3, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 3, 2, 3, 3, 1, 1, 3, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 1, 3, 1, 2, 1, 3, 1, 4, 1, 1, 1, 2, 3, 3, 1, 1, 2, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 2, 1, 1, 3, 1, 3, 1, 1, 1, 2, 1, 3, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 3, 1, 3, 1, 1, 1, 1, 2, 3, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1]",4,"[0.695, 0.055, 0.235, 0.015]"
Tac2,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1]",3,"[0.93, 0.045, 0.025]"
Sema3c,"[1, 1, 1, 2, 2, 1, 1, 3, 1, 3, 3, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 2, 1, 3, 1, 3, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 3, 1, 1, 3, 4, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 3, 3, 1, 1, 2, 1, 2, 3, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",4,"[0.785, 0.06, 0.145, 0.01]"
Ptprm,"[1, 1, 1, 1, 1, 1, 1, 5, 1, 4, 2, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 3, 3, 1, 1, 1, 4, 1, 1, 4, 1, 1, 1, 1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 2, 1, 1, 4, 1, 2, 2, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 5, 1, 1, 1, 2, 4, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 1, 4, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 1, 2, 1, 2, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1]",5,"[0.75, 0.125, 0.07, 0.04, 0.015]"
Cplx1,"[3, 1, 1, 3, 1, 1, 1, 4, 1, 4, 2, 3, 1, 2, 1, 1, 2, 1, 5, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 4, 4, 1, 4, 2, 3, 1, 1, 4, 4, 1, 1, 1, 4, 1, 1, 3, 2, 1, 1, 2, 4, 2, 3, 2, 1, 1, 1, 1, 1, 1, 4, 4, 4, 1, 3, 4, 1, 1, 2, 4, 1, 3, 1, 3, 1, 4, 1, 1, 1, 5, 4, 3, 1, 3, 2, 1, 4, 3, 1, 1, 1, 2, 2, 5, 1, 1, 1, 1, 4, 4, 1, 2, 1, 3, 1, 1, 1, 2, 1, 4, 1, 1, 1, 1, 1, 2, 3, 2, 3, 1, 1, 2, 1, 2, 3, 4, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 5, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 4, 1, 1, 3, 1, 4, 4, 1, 4, 1, 3, 1, 1, 1, 1, 2, 1, 4, 5, 1, 3, 1, 1, 1, 1, 1, 2, 3, 1, 1, 3, 2, 1, 1, 2, 1, 1, 1, 4, 2, 4, 1, 1, 3, 1, 1, 1, 1, 1, 1]",5,"[0.58, 0.135, 0.115, 0.145, 0.025]"
Col19a1,"[2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3,"[0.84, 0.11, 0.05]"
Rph3a,"[3, 1, 1, 1, 1, 1, 1, 3, 1, 3, 3, 2, 1, 1, 1, 1, 1, 1, 4, 3, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 3, 2, 1, 3, 1, 2, 1, 1, 4, 3, 1, 1, 1, 3, 1, 1, 2, 1, 1, 2, 2, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 3, 3, 2, 1, 2, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 2, 1, 3, 1, 4, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 4, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 2, 1, 1, 1, 2, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1]",4,"[0.71, 0.125, 0.145, 0.02]"
Setd7,"[2, 2, 1, 3, 2, 2, 1, 4, 1, 4, 3, 1, 1, 2, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 2, 4, 1, 1, 1, 4, 5, 2, 3, 3, 2, 1, 1, 2, 3, 2, 1, 2, 3, 1, 1, 3, 4, 1, 4, 1, 5, 1, 1, 1, 1, 2, 1, 1, 2, 1, 3, 3, 1, 3, 3, 4, 2, 1, 3, 5, 1, 2, 1, 2, 2, 5, 1, 2, 1, 4, 5, 3, 2, 4, 1, 1, 2, 3, 2, 1, 1, 3, 1, 2, 1, 2, 2, 1, 4, 3, 1, 2, 1, 3, 2, 1, 1, 1, 2, 4, 1, 1, 1, 1, 2, 2, 1, 4, 2, 1, 1, 1, 1, 3, 4, 4, 1, 1, 1, 1, 2, 2, 2, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 1, 1, 2, 1, 4, 2, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 2, 4, 2, 3, 3, 1, 1, 1, 1, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 2, 1, 4, 2, 4, 1, 1, 2, 1, 2, 1, 1, 1, 3]",5,"[0.5, 0.235, 0.135, 0.1, 0.03]"
Gad2,"[2, 2, 1, 1, 1, 1, 1, 3, 1, 3, 3, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 3, 1, 3, 1, 2, 1, 1, 3, 3, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 3, 1, 2, 3, 1, 1, 3, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 3, 1, 1, 2, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 2]",3,"[0.725, 0.105, 0.17]"
Phyhipl,"[4, 1, 1, 2, 1, 1, 1, 4, 2, 3, 3, 3, 2, 1, 1, 1, 1, 2, 5, 2, 1, 2, 2, 4, 3, 1, 2, 1, 1, 2, 1, 5, 2, 3, 1, 2, 2, 1, 3, 4, 3, 3, 1, 4, 1, 1, 2, 3, 1, 2, 1, 4, 1, 2, 4, 2, 1, 2, 1, 2, 1, 3, 3, 3, 3, 3, 3, 1, 1, 3, 5, 1, 1, 1, 1, 2, 4, 2, 2, 2, 5, 5, 2, 1, 1, 1, 3, 1, 3, 1, 1, 2, 2, 3, 3, 3, 1, 1, 1, 2, 4, 1, 2, 3, 1, 2, 1, 1, 3, 2, 4, 1, 1, 1, 4, 1, 1, 1, 3, 3, 1, 1, 1, 2, 2, 3, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 4, 3, 2, 1, 1, 3, 2, 1, 1, 1, 1, 1, 2, 3, 2, 2, 1, 2, 3, 1, 2, 3, 3, 1, 3, 1, 1, 1, 2, 2, 5, 5, 1, 2, 1, 1, 1, 2, 1, 3, 3, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 4, 1, 4, 2, 2, 2, 2, 3, 2, 1, 1, 3]",5,"[0.435, 0.27, 0.19, 0.07, 0.035]"
Pak1,"[1, 2, 1, 3, 2, 2, 2, 2, 1, 3, 3, 1, 1, 3, 2, 1, 3, 1, 4, 2, 1, 1, 1, 3, 3, 2, 3, 1, 1, 1, 3, 2, 3, 2, 3, 2, 1, 1, 1, 2, 2, 1, 2, 3, 2, 1, 2, 4, 1, 2, 3, 2, 1, 3, 1, 2, 3, 1, 2, 3, 2, 3, 4, 3, 2, 3, 2, 1, 1, 2, 2, 1, 4, 2, 3, 2, 1, 1, 1, 2, 2, 3, 2, 1, 3, 3, 1, 4, 1, 2, 1, 1, 2, 3, 2, 2, 1, 1, 1, 3, 2, 2, 2, 2, 3, 2, 1, 2, 2, 3, 3, 1, 2, 1, 1, 2, 3, 1, 4, 3, 1, 1, 2, 1, 2, 2, 2, 2, 3, 1, 1, 4, 2, 2, 2, 2, 2, 2, 2, 3, 2, 1, 1, 2, 2, 2, 3, 1, 2, 2, 2, 1, 1, 1, 1, 3, 4, 3, 4, 3, 3, 2, 1, 1, 1, 3, 2, 3, 3, 1, 2, 1, 2, 2, 4, 1, 1, 2, 2, 2, 3, 2, 3, 1, 4, 3, 2, 1, 3, 2, 4, 2, 2, 3, 1, 2, 1, 1, 2, 1]",4,"[0.33, 0.385, 0.225, 0.06]"
Tanc2,"[2, 1, 3, 4, 1, 1, 2, 3, 2, 3, 2, 1, 2, 2, 2, 1, 2, 2, 4, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 3, 2, 2, 2, 1, 2, 3, 2, 1, 1, 3, 3, 1, 1, 2, 4, 1, 2, 2, 2, 1, 3, 2, 2, 2, 1, 2, 2, 1, 2, 3, 3, 1, 2, 2, 2, 2, 3, 3, 1, 4, 2, 2, 2, 3, 1, 1, 2, 1, 3, 2, 2, 4, 2, 1, 3, 2, 2, 1, 2, 2, 2, 3, 1, 1, 2, 1, 4, 2, 2, 2, 1, 3, 1, 1, 1, 2, 3, 3, 2, 2, 1, 1, 3, 3, 1, 4, 3, 1, 2, 2, 1, 2, 3, 3, 3, 3, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 3, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 1, 4, 3, 4, 4, 2, 2, 1, 3, 1, 1, 2, 1, 2, 2, 1, 2, 1, 2, 2, 3, 1, 3, 2, 1, 1, 3, 2, 2, 1, 3, 2, 2, 1, 4, 2, 4, 2, 2, 2, 1, 1, 1, 1, 2, 1]",4,"[0.37, 0.405, 0.165, 0.06]"
Hnrnph1,"[2, 1, 3, 3, 1, 1, 2, 4, 2, 1, 2, 2, 1, 2, 1, 1, 2, 2, 4, 1, 2, 1, 1, 1, 3, 1, 2, 1, 1, 2, 3, 1, 3, 1, 2, 2, 2, 1, 2, 3, 2, 1, 1, 2, 1, 1, 2, 3, 1, 2, 2, 3, 1, 2, 2, 1, 2, 1, 2, 2, 1, 2, 4, 3, 1, 1, 3, 2, 2, 3, 2, 1, 3, 2, 2, 1, 2, 1, 1, 1, 2, 2, 1, 2, 4, 1, 3, 4, 2, 2, 1, 1, 2, 3, 2, 2, 1, 2, 1, 2, 2, 1, 2, 1, 3, 1, 1, 2, 1, 3, 3, 2, 2, 1, 1, 2, 3, 2, 4, 1, 1, 1, 2, 1, 2, 4, 2, 3, 4, 1, 1, 2, 1, 1, 2, 2, 2, 2, 1, 3, 1, 2, 2, 3, 1, 1, 3, 2, 2, 3, 2, 1, 1, 2, 2, 3, 4, 2, 4, 3, 2, 1, 1, 2, 1, 2, 2, 2, 3, 1, 2, 2, 1, 1, 3, 2, 2, 2, 2, 1, 4, 1, 2, 2, 4, 2, 2, 1, 4, 3, 3, 1, 2, 3, 2, 2, 2, 1, 1, 2]",4,"[0.36, 0.425, 0.15, 0.065]"
