"","from","to"
"1","Slc1a2","Ndrg2"
"2","Slc1a2","Hapln1"
"3","Slc1a2","Lix1"
"4","Slc1a2","Scrg1"
"5","Slc1a2","Ppap2b"
"6","Slc1a2","Fabp7"
"7","Slc1a2","Sparcl1"
"8","Slc1a2","Dtna"
"9","Slc1a2","Cxcl14"
"10","Slc1a2","Gja1"
"11","Slc1a2","Slc4a4"
"12","Slc1a2","Fermt2"
"13","Slc1a2","S100b"
"14","Slc1a2","Add3"
"15","Slc1a2","Cst3"
"16","Slc1a2","Sepp1"
"17","Slc1a2","Mgll"
"18","Slc1a2","Tspan7"
"19","Slc1a2","Pcdh7"
"20","Slc1a2","Csrp1"
"21","Slc1a2","Bcan"
"22","Slc1a2","Efnb3"
"23","Slc1a2","Tulp4"
"24","Slc1a2","Tpd52"
"25","Slc1a2","Apod"
"26","Slc1a2","Btf3"
"27","Slc1a2","Endod1"
"28","Slc1a2","Rps12"
"29","Ndrg2","Hapln1"
"30","Ndrg2","Slc6a1"
"31","Ndrg2","Scrg1"
"32","Ndrg2","Ppap2b"
"33","Ndrg2","Fabp7"
"34","Ndrg2","Sparcl1"
"35","Ndrg2","Dtna"
"36","Ndrg2","Cxcl14"
"37","Ndrg2","Gja1"
"38","Ndrg2","Slc4a4"
"39","Ndrg2","S100b"
"40","Ndrg2","Cst3"
"41","Ndrg2","Sepp1"
"42","Ndrg2","Trp53i11"
"43","Ndrg2","Csrp1"
"44","Ndrg2","Bcan"
"45","Ndrg2","Efnb3"
"46","Ndrg2","Ddr1"
"47","Ndrg2","Abcd3"
"48","Ndrg2","Endod1"
"49","Ndrg2","Stox2"
"50","Ndrg2","Ptprd"
"51","Hapln1","Slc6a1"
"52","Hapln1","Ppap2b"
"53","Hapln1","Fabp7"
"54","Hapln1","Sparcl1"
"55","Hapln1","Dtna"
"56","Hapln1","Cxcl14"
"57","Hapln1","Gja1"
"58","Hapln1","Slc4a4"
"59","Hapln1","Add3"
"60","Hapln1","Arl4c"
"61","Hapln1","Mgll"
"62","Hapln1","Abat"
"63","Hapln1","Gad1"
"64","Hapln1","Ptprm"
"65","Hapln1","Col19a1"
"66","Hapln1","Rph3a"
"67","Hapln1","Gad2"
"68","Hapln1","Tspan7"
"69","Hapln1","Bcan"
"70","Hapln1","Efnb3"
"71","Hapln1","Cadm4"
"72","Hapln1","Aplp2"
"73","Hapln1","Ptprd"
"74","Lix1","Laptm4a"
"75","Lix1","Sparcl1"
"76","Lix1","Ldhb"
"77","Lix1","Gabrb1"
"78","Lix1","Gja1"
"79","Lix1","Trim9"
"80","Lix1","Rgs10"
"81","Lix1","Epha5"
"82","Lix1","Tspan7"
"83","Lix1","Abr"
"84","Lix1","Gjc3"
"85","Lix1","Gatm"
"86","Lix1","Ddr1"
"87","Lix1","Abcd3"
"88","Lix1","Apod"
"89","Lix1","Rab9"
"90","Lix1","Neo1"
"91","Dclk1","Sparcl1"
"92","Dclk1","Trim9"
"93","Dclk1","Cntnap2"
"94","Dclk1","Gabra1"
"95","Dclk1","Slitrk4"
"96","Dclk1","Plcb1"
"97","Dclk1","Scn8a"
"98","Dclk1","Inpp4a"
"99","Dclk1","Kcna2"
"100","Dclk1","Fbxl16"
"101","Dclk1","Pdxp"
"102","Dclk1","Celf2"
"103","Dclk1","Epha5"
"104","Dclk1","Tspan7"
"105","Dclk1","Cdk5r1"
"106","Dclk1","Cry2"
"107","Dclk1","Ptprs"
"108","Dclk1","Slc12a5"
"109","Dclk1","Lgi1"
"110","Dclk1","Sult4a1"
"111","Dclk1","Lmo4"
"112","Dclk1","Camk1d"
"113","Dclk1","Atp2b2"
"114","Dclk1","Lphn1"
"115","Dclk1","Abr"
"116","Dclk1","Asph"
"117","Dclk1","Strbp"
"118","Dclk1","Gatm"
"119","Dclk1","Apod"
"120","Src","Sparcl1"
"121","Src","Caskin1"
"122","Src","Pkia"
"123","Src","Tspan7"
"124","Src","Cry2"
"125","Src","Ube2v2"
"126","Src","Ptprs"
"127","Src","Lmo4"
"128","Src","Pcdh7"
"129","Src","Camk1d"
"130","Src","Fbxo11"
"131","Src","Lphn1"
"132","Src","Bai1"
"133","Src","Strbp"
"134","Src","Ddr1"
"135","Slc6a1","Ppap2b"
"136","Slc6a1","Fabp7"
"137","Slc6a1","Cxcl14"
"138","Slc6a1","Ldhb"
"139","Slc6a1","Gja1"
"140","Slc6a1","Slc4a4"
"141","Slc6a1","B2m"
"142","Slc6a1","Ubash3b"
"143","Slc6a1","Elmo1"
"144","Slc6a1","Arl4c"
"145","Slc6a1","Igf1"
"146","Slc6a1","Etl4"
"147","Slc6a1","Nrip3"
"148","Slc6a1","Reln"
"149","Slc6a1","Mgll"
"150","Slc6a1","Kcnc1"
"151","Slc6a1","Col25a1"
"152","Slc6a1","Trp53i11"
"153","Slc6a1","Abat"
"154","Slc6a1","Rgs10"
"155","Slc6a1","Rgs12"
"156","Slc6a1","Rasgrf2"
"157","Slc6a1","Slc39a6"
"158","Slc6a1","Rcan2"
"159","Slc6a1","Gad1"
"160","Slc6a1","Sema3c"
"161","Slc6a1","Ptprm"
"162","Slc6a1","Cplx1"
"163","Slc6a1","Col19a1"
"164","Slc6a1","Rph3a"
"165","Slc6a1","Setd7"
"166","Slc6a1","Gad2"
"167","Slc6a1","Phyhipl"
"168","Slc6a1","Tspan7"
"169","Slc6a1","Bcan"
"170","Slc6a1","Rap1a"
"171","Slc6a1","Ubl3"
"172","Slc6a1","Aplp2"
"173","Tab2","Add3"
"174","Tab2","Arhgef12"
"175","Tab2","Usp2"
"176","Tab2","9330159F19Rik"
"177","Tab2","Pik3r1"
"178","Tab2","Mapre2"
"179","Tab2","Med13"
"180","Tab2","Ralgps2"
"181","Tab2","Pcdh7"
"182","Tab2","Rap1a"
"183","Tab2","Rps12"
"184","Scrg1","Ppap2b"
"185","Scrg1","Fabp7"
"186","Scrg1","Sparcl1"
"187","Scrg1","Oat"
"188","Scrg1","Gja1"
"189","Scrg1","Slc4a4"
"190","Scrg1","Plekhb1"
"191","Scrg1","Fermt2"
"192","Scrg1","S100b"
"193","Scrg1","Cst3"
"194","Scrg1","Sepp1"
"195","Scrg1","Elmo1"
"196","Scrg1","Gjc3"
"197","Scrg1","Csrp1"
"198","Scrg1","Tulp4"
"199","Scrg1","Slc12a2"
"200","Laptm4a","Gabrb1"
"201","Laptm4a","Add3"
"202","Laptm4a","Pak1"
"203","Laptm4a","Lrrc4c"
"204","Laptm4a","Usp2"
"205","Laptm4a","9330159F19Rik"
"206","Laptm4a","Scn8a"
"207","Laptm4a","Nptx1"
"208","Laptm4a","Tnrc6b"
"209","Laptm4a","Cdk5r1"
"210","Ppap2b","Fabp7"
"211","Ppap2b","Sparcl1"
"212","Ppap2b","Oat"
"213","Ppap2b","Cxcl14"
"214","Ppap2b","Gja1"
"215","Ppap2b","Slc4a4"
"216","Ppap2b","Fermt2"
"217","Ppap2b","S100b"
"218","Ppap2b","Cst3"
"219","Ppap2b","Sepp1"
"220","Ppap2b","Mgll"
"221","Ppap2b","Csrp1"
"222","Ppap2b","Bcan"
"223","Ppap2b","Efnb3"
"224","Ppap2b","Rap1a"
"225","Ppap2b","Tpd52"
"226","Ppap2b","Slc12a2"
"227","Ppap2b","Rps12"
"228","Ppap2b","Adipor2"
"229","Ppap2b","Ptprd"
"230","Fabp7","Sparcl1"
"231","Fabp7","Oat"
"232","Fabp7","Cxcl14"
"233","Fabp7","Gja1"
"234","Fabp7","Slc4a4"
"235","Fabp7","Fermt2"
"236","Fabp7","S100b"
"237","Fabp7","Cst3"
"238","Fabp7","Mgll"
"239","Fabp7","Rgs10"
"240","Fabp7","Bcan"
"241","Fabp7","Rab9"
"242","Sparcl1","Oat"
"243","Sparcl1","Gabrb1"
"244","Sparcl1","Gja1"
"245","Sparcl1","Slc4a4"
"246","Sparcl1","Trim9"
"247","Sparcl1","Fermt2"
"248","Sparcl1","Add3"
"249","Sparcl1","Cst3"
"250","Sparcl1","Sepp1"
"251","Sparcl1","Mgll"
"252","Sparcl1","Tspan7"
"253","Sparcl1","Abr"
"254","Sparcl1","Gjc3"
"255","Sparcl1","Gatm"
"256","Sparcl1","Bcan"
"257","Sparcl1","Slc12a2"
"258","Sparcl1","Apod"
"259","Dtna","Oat"
"260","Dtna","Ldhb"
"261","Dtna","Cst3"
"262","Dtna","Elmo1"
"263","Dtna","Mgll"
"264","Dtna","Trp53i11"
"265","Dtna","Abat"
"266","Dtna","Rgs12"
"267","Dtna","Rasgrf2"
"268","Dtna","Tac2"
"269","Dtna","Rph3a"
"270","Dtna","Phyhipl"
"271","Dtna","Fbxl3"
"272","Dtna","Bcan"
"273","Dtna","Rnf44"
"274","Oat","Tanc2"
"275","Oat","Nbr1"
"276","Oat","D17Wsu92e"
"277","Oat","Spred1"
"278","Oat","Reep5"
"279","Oat","Rab9"
"280","Oat","Rps12"
"281","Cxcl14","Ldhb"
"282","Cxcl14","Gja1"
"283","Cxcl14","Slc4a4"
"284","Cxcl14","Cst3"
"285","Cxcl14","Ubash3b"
"286","Cxcl14","Elmo1"
"287","Cxcl14","Arl4c"
"288","Cxcl14","Igf1"
"289","Cxcl14","Reln"
"290","Cxcl14","Trp53i11"
"291","Cxcl14","Abat"
"292","Cxcl14","Rgs12"
"293","Cxcl14","Rasgrf2"
"294","Cxcl14","Rcan2"
"295","Cxcl14","Gad1"
"296","Cxcl14","Tac2"
"297","Cxcl14","Sema3c"
"298","Cxcl14","Ptprm"
"299","Cxcl14","Col19a1"
"300","Cxcl14","Rph3a"
"301","Cxcl14","Gad2"
"302","Cxcl14","Phyhipl"
"303","Cxcl14","Bcan"
"304","Cxcl14","Ptprd"
"305","Ldhb","Ccl7"
"306","Ldhb","Cst3"
"307","Ldhb","Ccl3"
"308","Ldhb","B2m"
"309","Ldhb","Ubash3b"
"310","Ldhb","Arl4c"
"311","Ldhb","Igf1"
"312","Ldhb","Mgll"
"313","Ldhb","Kcnc1"
"314","Ldhb","Abat"
"315","Ldhb","Rgs10"
"316","Ldhb","Rgs12"
"317","Ldhb","Rcan2"
"318","Ldhb","Gad1"
"319","Ldhb","Col19a1"
"320","Ldhb","Rph3a"
"321","Ldhb","Gad2"
"322","Ldhb","Phyhipl"
"323","Ldhb","Tspan7"
"324","Ldhb","Ube2v2"
"325","Ldhb","Aplp2"
"326","Gabrb1","Grin3a"
"327","Gabrb1","Trim9"
"328","Gabrb1","Pak1"
"329","Gabrb1","Slitrk4"
"330","Gabrb1","9330159F19Rik"
"331","Gabrb1","Scn8a"
"332","Gabrb1","Celf2"
"333","Gabrb1","Nptx1"
"334","Gabrb1","Epha5"
"335","Gabrb1","Tnrc6b"
"336","Gabrb1","Cdk5r1"
"337","Gabrb1","Ptprs"
"338","Gabrb1","Ralgps2"
"339","Gabrb1","Lmo4"
"340","Gabrb1","Camk1d"
"341","Gabrb1","Abr"
"342","Grin3a","Tanc2"
"343","Grin3a","Gabra1"
"344","Grin3a","Slitrk4"
"345","Grin3a","Plcb1"
"346","Grin3a","9330159F19Rik"
"347","Grin3a","Etnk1"
"348","Grin3a","Smarca2"
"349","Grin3a","Pdxp"
"350","Grin3a","Nptx1"
"351","Grin3a","Epha5"
"352","Grin3a","Mapre2"
"353","Grin3a","Ptprs"
"354","Grin3a","Stox2"
"355","Grin3a","Lmbrd1"
"356","Gja1","Slc4a4"
"357","Gja1","Fermt2"
"358","Gja1","S100b"
"359","Gja1","Cst3"
"360","Gja1","Sepp1"
"361","Gja1","Csrp1"
"362","Gja1","Bcan"
"363","Gja1","Efnb3"
"364","Gja1","Tulp4"
"365","Gja1","Tpd52"
"366","Gja1","Adipor2"
"367","Gja1","Ptprd"
"368","Slc4a4","Fermt2"
"369","Slc4a4","S100b"
"370","Slc4a4","Cst3"
"371","Slc4a4","Sepp1"
"372","Slc4a4","Csrp1"
"373","Slc4a4","Bcan"
"374","Slc4a4","Efnb3"
"375","Slc4a4","Tulp4"
"376","Slc4a4","Tpd52"
"377","Slc4a4","Btf3"
"378","Slc4a4","Endod1"
"379","Slc4a4","Rps12"
"380","Plekhb1","Fermt2"
"381","Plekhb1","S100b"
"382","Plekhb1","Cst3"
"383","Plekhb1","Cdk5r1"
"384","Plekhb1","Ptprs"
"385","Plekhb1","Slc12a5"
"386","Plekhb1","Abr"
"387","Plekhb1","Gjc3"
"388","Plekhb1","Csrp1"
"389","Plekhb1","Gatm"
"390","Plekhb1","Efnb3"
"391","Plekhb1","Rap1a"
"392","Plekhb1","Ddr1"
"393","Plekhb1","Slc12a2"
"394","Plekhb1","Apod"
"395","Plekhb1","Adipor2"
"396","Trim9","Add3"
"397","Trim9","Sorbs1"
"398","Trim9","Arhgef12"
"399","Trim9","9330159F19Rik"
"400","Trim9","Scn8a"
"401","Trim9","Cyp46a1"
"402","Trim9","Fbxl16"
"403","Trim9","Celf2"
"404","Trim9","Tspan7"
"405","Trim9","Lmo4"
"406","Trim9","Abr"
"407","Trim9","Gjc3"
"408","Trim9","Gatm"
"409","Trim9","Efnb3"
"410","Trim9","Cadm4"
"411","Trim9","Apod"
"412","Trim9","Ptprd"
"413","Fermt2","S100b"
"414","Fermt2","Add3"
"415","Fermt2","Sepp1"
"416","Fermt2","Smarca2"
"417","Fermt2","Gjc3"
"418","Fermt2","Csrp1"
"419","Fermt2","Efnb3"
"420","Fermt2","Ddr1"
"421","Fermt2","Slc12a2"
"422","Fermt2","Apod"
"423","Fermt2","Btf3"
"424","Fermt2","Adipor2"
"425","S100b","Cst3"
"426","S100b","Sepp1"
"427","S100b","Fgf13"
"428","S100b","Gjc3"
"429","S100b","Csrp1"
"430","S100b","Bcan"
"431","S100b","Ddr1"
"432","S100b","Tpd52"
"433","S100b","Slc12a2"
"434","S100b","Apod"
"435","S100b","Rps12"
"436","Add3","Ccl7"
"437","Add3","Usp2"
"438","Add3","Plcb1"
"439","Add3","Celf2"
"440","Add3","Pik3r1"
"441","Add3","Tspan7"
"442","Add3","Spred1"
"443","Add3","A830010M20Rik"
"444","Sorbs1","Cntnap2"
"445","Sorbs1","Igf1"
"446","Sorbs1","Nrxn3"
"447","Sorbs1","Etl4"
"448","Sorbs1","Nrip3"
"449","Sorbs1","Kcnc1"
"450","Sorbs1","Slc39a6"
"451","Sorbs1","Gad1"
"452","Sorbs1","Cplx1"
"453","Sorbs1","Setd7"
"454","Sorbs1","Arhgef12"
"455","Sorbs1","Etnk1"
"456","Sorbs1","Kcna2"
"457","Sorbs1","Pkia"
"458","Sorbs1","Tspan7"
"459","Sorbs1","Dock3"
"460","Sorbs1","Atp2b2"
"461","Sorbs1","Reep5"
"462","Ccl7","Cst3"
"463","Ccl7","Ccl3"
"464","Ccl7","Sepp1"
"465","Ccl7","B2m"
"466","Ccl7","Rgs10"
"467","Ccl7","Phyhipl"
"468","Ccl7","Cadm4"
"469","Ccl7","Btf3"
"470","Ccl7","Ncam1"
"471","Cst3","Ccl3"
"472","Cst3","Sepp1"
"473","Cst3","B2m"
"474","Cst3","Mgll"
"475","Cst3","Rgs10"
"476","Cst3","Gjc3"
"477","Cst3","Csrp1"
"478","Cst3","Bcan"
"479","Cst3","Efnb3"
"480","Cst3","Rap1a"
"481","Cst3","Tpd52"
"482","Cst3","Slc12a2"
"483","Cst3","Apod"
"484","Cst3","Adipor2"
"485","Cst3","Ptprd"
"486","Ccl3","Sepp1"
"487","Ccl3","B2m"
"488","Ccl3","Rgs10"
"489","Ccl3","Gad1"
"490","Ccl3","Ank"
"491","Ccl3","Cadm4"
"492","Ccl3","Ncam1"
"493","Ccl3","Adipor2"
"494","Sepp1","B2m"
"495","Sepp1","Cntnap2"
"496","Sepp1","Pak1"
"497","Sepp1","Gabra1"
"498","Sepp1","Epha5"
"499","Sepp1","Slc12a5"
"500","Sepp1","Sult4a1"
"501","Sepp1","Csrp1"
"502","Sepp1","Gatm"
"503","B2m","Igf1"
"504","B2m","Rgs10"
"505","B2m","Phyhipl"
"506","B2m","Pcdh7"
"507","B2m","Efnb3"
"508","B2m","Ddr1"
"509","B2m","Cadm4"
"510","B2m","Aplp2"
"511","B2m","Rps12"
"512","B2m","Ncam1"
"513","B2m","Neo1"
"514","Ubash3b","Elmo1"
"515","Ubash3b","Arl4c"
"516","Ubash3b","Igf1"
"517","Ubash3b","Nrxn3"
"518","Ubash3b","Etl4"
"519","Ubash3b","Nrip3"
"520","Ubash3b","Reln"
"521","Ubash3b","Mgll"
"522","Ubash3b","Kcnc1"
"523","Ubash3b","Col25a1"
"524","Ubash3b","Trp53i11"
"525","Ubash3b","Abat"
"526","Ubash3b","Rgs10"
"527","Ubash3b","Rgs12"
"528","Ubash3b","Rasgrf2"
"529","Ubash3b","Rcan2"
"530","Ubash3b","Gad1"
"531","Ubash3b","Tac2"
"532","Ubash3b","Sema3c"
"533","Ubash3b","Ptprm"
"534","Ubash3b","Cplx1"
"535","Ubash3b","Col19a1"
"536","Ubash3b","Rph3a"
"537","Ubash3b","Setd7"
"538","Ubash3b","Gad2"
"539","Ubash3b","Phyhipl"
"540","Ubash3b","Mapk9"
"541","Ubash3b","Rap1a"
"542","Ubash3b","Aplp2"
"543","Cntnap2","Nrxn3"
"544","Cntnap2","Rgs12"
"545","Cntnap2","Slc39a6"
"546","Cntnap2","Cplx1"
"547","Cntnap2","Gabra1"
"548","Cntnap2","Slitrk4"
"549","Cntnap2","Bsn"
"550","Cntnap2","Kcna2"
"551","Cntnap2","Fbxl16"
"552","Cntnap2","Pdxp"
"553","Cntnap2","Caskin1"
"554","Cntnap2","Celf2"
"555","Cntnap2","Epha5"
"556","Cntnap2","Mapk9"
"557","Cntnap2","Slc12a5"
"558","Cntnap2","Lgi1"
"559","Cntnap2","Sult4a1"
"560","Cntnap2","Faim2"
"561","Cntnap2","Atp2b2"
"562","Elmo1","Arl4c"
"563","Elmo1","Igf1"
"564","Elmo1","Reln"
"565","Elmo1","Mgll"
"566","Elmo1","Kcnc1"
"567","Elmo1","Col25a1"
"568","Elmo1","Trp53i11"
"569","Elmo1","Abat"
"570","Elmo1","Rgs10"
"571","Elmo1","Rgs12"
"572","Elmo1","Rasgrf2"
"573","Elmo1","Rcan2"
"574","Elmo1","Gad1"
"575","Elmo1","Tac2"
"576","Elmo1","Sema3c"
"577","Elmo1","Ptprm"
"578","Elmo1","Cplx1"
"579","Elmo1","Col19a1"
"580","Elmo1","Rph3a"
"581","Elmo1","Setd7"
"582","Elmo1","Gad2"
"583","Elmo1","Phyhipl"
"584","Elmo1","Ddr1"
"585","Elmo1","Cadm4"
"586","Elmo1","Endod1"
"587","Arl4c","Igf1"
"588","Arl4c","Nrxn3"
"589","Arl4c","Etl4"
"590","Arl4c","Nrip3"
"591","Arl4c","Reln"
"592","Arl4c","Mgll"
"593","Arl4c","Kcnc1"
"594","Arl4c","Col25a1"
"595","Arl4c","Trp53i11"
"596","Arl4c","Abat"
"597","Arl4c","Rgs10"
"598","Arl4c","Rgs12"
"599","Arl4c","Rasgrf2"
"600","Arl4c","Rcan2"
"601","Arl4c","Gad1"
"602","Arl4c","Tac2"
"603","Arl4c","Sema3c"
"604","Arl4c","Ptprm"
"605","Arl4c","Cplx1"
"606","Arl4c","Col19a1"
"607","Arl4c","Rph3a"
"608","Arl4c","Setd7"
"609","Arl4c","Gad2"
"610","Arl4c","Phyhipl"
"611","Arl4c","Mapk9"
"612","Arl4c","Asph"
"613","Arl4c","Aplp2"
"614","Igf1","Nrxn3"
"615","Igf1","Etl4"
"616","Igf1","Nrip3"
"617","Igf1","Reln"
"618","Igf1","Kcnc1"
"619","Igf1","Col25a1"
"620","Igf1","Trp53i11"
"621","Igf1","Abat"
"622","Igf1","Rgs10"
"623","Igf1","Rgs12"
"624","Igf1","Rasgrf2"
"625","Igf1","Slc39a6"
"626","Igf1","Rcan2"
"627","Igf1","Gad1"
"628","Igf1","Tac2"
"629","Igf1","Sema3c"
"630","Igf1","Ptprm"
"631","Igf1","Cplx1"
"632","Igf1","Col19a1"
"633","Igf1","Rph3a"
"634","Igf1","Setd7"
"635","Igf1","Gad2"
