upregulated,,,downregulated,,
gene id,log2FC,adj. P-value,gene id,log2FC,adj. P-value
HHAT,2.837104935,1.60803E-18,TRAIP,-3.520995505,4.21791E-36
TRIM29,2.827806303,2.01222E-08,GSG2,-3.520384976,3.37983E-33
TRANK1,2.815602095,4.15607E-12,E2F1,-3.503654404,3.1167E-127
MVP,2.792947451,2.50958E-07,PTTG1,-3.49297688,6.2159E-99
FAS,2.786535235,2.74551E-09,CENPA,-3.479944088,6.0639E-59
GADD45A,2.758310578,2.26212E-28,GPR19,-3.474847141,1.00182E-06
KIAA1683,2.757179391,8.4269E-07,TRIP13,-3.467597366,2.988E-124
KRT4,2.740359424,0.00084306,C4orf21,-3.465248039,4.25184E-41
KANK3,2.725900404,1.35428E-11,MAD2L1,-3.463984694,1.02108E-42
FGF18,2.710445327,6.67743E-12,C11orf82,-3.451363976,1.1389E-104
BBC3,2.703022318,6.62637E-08,KIF18A,-3.440688687,2.93927E-55
RASGRP1,2.702739718,8.05205E-08,FANCB,-3.433403692,2.01162E-23
FAM198B,2.687931916,1.21644E-35,CDC6,-3.379984131,1.4326E-112
TMEM88,2.682626694,1.34569E-05,PSMC3IP,-3.367183141,1.30318E-14
UCA1,2.677530524,6.48207E-05,FAM72A,-3.361282994,1.99123E-09
KRT15,2.674284903,1.21567E-20,CCNE2,-3.352696679,6.57432E-63
FAM65C,2.657757904,1.1077E-13,PLK4,-3.335832057,1.56893E-85
FDXR,2.640363351,3.55765E-17,KIF11,-3.328370816,6.7977E-131
PADI3,2.630852849,1.76335E-07,DMBX1,-3.316111781,0.000493766
AQP3,2.628378046,0.02554937,KIAA1524,-3.292649664,1.16191E-43
TNFRSF14,2.609040831,0.00043843,ATAD5,-3.286349738,2.84708E-37
PRODH,2.602542817,4.99659E-10,CCNB2,-3.274157671,4.2542E-115
MYO15B,2.590678566,2.9738E-47,KIF23,-3.265899021,6.9628E-126
CCR7,2.589062268,3.32738E-08,TOP2A,-3.256542063,3.5198E-73
HIST1H3E,2.587785659,1.2595E-06,C9orf100,-3.240874862,3.71801E-24
TIMP3,2.577373054,4.69924E-10,RAD51,-3.238104725,5.72139E-63
TP53INP2,2.568123239,1.35136E-05,CENPK,-3.236241427,1.23746E-52
SESN1,2.535717714,4.62424E-77,CNIH2,-3.234007531,6.09139E-19
CYP24A1,2.522882916,0.007792461,BRCA1,-3.229696915,1.93827E-96
MUC2,2.519072807,1.65011E-07,SPC24,-3.219666628,5.41661E-33
LDB3,2.513607939,9.5663E-05,ZWINT,-3.212324061,1.87664E-50
CLEC3A,2.495002101,7.6446E-05,PTTG3P,-3.211330205,7.63767E-38
NT5E,2.491078034,8.01835E-06,E2F2,-3.210735519,8.03785E-72
CCNG2,2.474743504,8.74356E-68,SGOL2,-3.205509574,2.04552E-87
ITGB6,2.469514514,2.73646E-07,MLF1IP,-3.201968573,1.43895E-73
PBXIP1,2.447847499,5.37454E-45,ASF1B,-3.193671668,3.895E-109
C17orf82,2.438576241,0.000146046,PRC1,-3.185680088,3.8374E-179
LOC284440,2.436489432,0.000732426,UHRF1,-3.169675047,8.42225E-54
AHNAK2,2.426145359,9.03543E-38,E2F8,-3.168926926,5.1371E-64
DGKA,2.426081219,3.0911E-24,CDCA7,-3.140560091,4.53834E-72
PSCA,2.426025245,1.05261E-08,BRCA2,-3.123804901,6.83009E-60
RIBC1,2.409824046,1.90138E-12,DSCC1,-3.104058245,4.92663E-74
ACHE,2.400931583,0.000321976,C14orf145,-3.101099031,1.23633E-33
KLHL24,2.393707027,3.46566E-21,MYBL2,-3.100429015,4.2478E-168
CAPN13,2.382586193,7.04207E-13,C5orf34,-3.082163579,1.25628E-28
KRT16,2.376126919,0.002687392,CDKN3,-3.079420519,1.11298E-82
RPS27L,2.371351064,5.6877E-105,MELK,-3.058142586,1.16206E-81
C14orf159,2.366550296,3.99039E-07,CLSPN,-3.055196935,2.04368E-67
ALPK3,2.352570197,1.9701E-09,CDCA2,-3.052487993,1.05535E-94
RLN2,2.348807532,2.1867E-08,PRR11,-3.043578108,6.3323E-174
SPTBN5,2.347430054,0.000520736,GAS2L3,-3.034196248,3.0374E-43
DUSP6,2.342454451,1.2389E-06,WDR62,-3.024964756,5.6578E-101
PDK4,2.342439129,3.53608E-08,POLQ,-3.016158681,5.67646E-63
SPNS2,2.325342947,0.000158851,ITGA2B,-3.012773692,2.34241E-10
HIST2H2BF,2.322662387,0.000111385,RACGAP1,-3.008247812,7.9904E-144
NAV2,2.313810962,0.000233047,FANCE,-2.99061641,7.63069E-24
SOX9,2.311423089,3.12215E-06,PRIM1,-2.986008796,3.19841E-61
C14orf182,2.297487251,5.00181E-06,PHF19,-2.972550294,3.2826E-101
FOS,2.289022353,0.013469633,UBE2T,-2.972515472,6.21077E-92
EFCAB10,2.284183319,0.003351209,NCAPG2,-2.963266174,9.48599E-52
C9orf169,2.282606543,8.75248E-07,CDC25A,-2.961662123,3.7424E-48
ZNF528,2.279891144,5.49575E-05,RACGAP1P,-2.958826437,1.66093E-40
ACER2,2.264772865,7.76125E-15,TNFAIP8L1,-2.9509193,1.75984E-20
ORAI3,2.262558276,2.54157E-08,ATAD2,-2.946878857,1.61791E-47
NDRG4,2.256888276,2.1867E-08,DNA2,-2.938964955,2.4753E-54
C14orf176,2.256460259,0.000219126,RDM1,-2.937679997,0.000129827
FILIP1L,2.254188692,0.001114677,POLE2,-2.914782045,2.35079E-39
PROCR,2.253895259,1.3628E-05,RIBC2,-2.897805363,1.76457E-06
PNRC1,2.244158484,7.51362E-68,KIF24,-2.894389144,2.3603E-24
LIPH,2.244094868,2.42002E-09,CCDC99,-2.892792618,5.4066E-71
MCC,2.243780581,2.67604E-18,CENPQ,-2.890067528,5.77692E-33
CEL,2.241596975,3.77472E-06,C17orf53,-2.884430176,1.05316E-19
LTBP2,2.240671417,2.28957E-12,CCNB1,-2.877520254,9.5394E-157
ARHGDIB,2.236835851,4.55502E-05,C18orf54,-2.875793915,2.43594E-22
GPR115,2.23342193,2.78948E-08,PTTG2,-2.869905156,7.40566E-09
PHLDA1,2.224815845,0.000200033,TK1,-2.869775308,5.9622E-129
LOC619207,2.221328339,0.000262167,NRM,-2.865333164,2.21085E-41
MACC1,2.214871734,0.003831172,CDKN2C,-2.861061259,2.84442E-41
MYPN,2.211413451,1.57391E-06,FANCI,-2.848996799,1.953E-134
HIST2H2BE,2.196229394,1.46971E-66,MXD3,-2.84855462,4.45962E-34
LHFP,2.196203902,0.001271983,CHAF1B,-2.822815447,1.75748E-43
C12orf5,2.191894074,2.68678E-23,HSD17B6,-2.821314772,5.48783E-05
DDIT4,2.188252115,1.73221E-96,DBF4B,-2.819127496,2.31881E-28
GGT6,2.187637454,7.11311E-17,FEN1,-2.811939985,6.2634E-113
NEDD9,2.175633349,4.95824E-07,ARHGAP11B,-2.811337383,1.91384E-06
EDN2,2.163512661,1.11382E-12,MCM5,-2.805269244,6.1285E-121
CYFIP2,2.155595218,6.63559E-29,FAM83D,-2.79932241,1.1719E-93
ARHGAP42,2.153377675,0.000383628,ARHGAP11A,-2.798393515,3.6221E-111
RRM2B,2.152136375,2.52758E-20,CENPL,-2.754621502,8.39116E-57
MXD4,2.147259021,4.35398E-77,FANCD2,-2.745189429,1.89811E-69
SLC16A4,2.134455546,0.000990568,STIL,-2.743625723,1.05262E-85
RAB37,2.133587883,1.46531E-20,NRGN,-2.738362339,3.06339E-11
C13orf29,2.130879915,1.62269E-10,FIGNL1,-2.713984016,6.49762E-54
LRRC15,2.120924858,0.007161727,CDCA7L,-2.710075737,3.30498E-44
LAMC2,2.119770538,5.41601E-13,UNC5A,-2.708284307,1.15572E-09
FHL2,2.113256059,7.87994E-30,CHAF1A,-2.70578682,1.15035E-51
LXN,2.109720104,0.002843633,PTGER2,-2.695674579,0.000754407
SSTR5,2.104235198,0.000240637,CCDC15,-2.682450671,9.5717E-08
SESN2,2.095572262,7.93802E-21,TPX2,-2.682327574,7.7834E-146
PTPRH,2.086344447,0.000439215,CCDC150,-2.677741398,1.92369E-08
MTRNR2L6,2.083685134,0.010119337,LHX2,-2.6771528,1.29435E-05
BBS12,2.076167822,0.00018446,WDHD1,-2.67705565,8.65752E-45
CARD6,2.074808448,0.00176922,LOXL3,-2.670047342,8.86352E-13
DISP2,2.060581983,6.73174E-10,RTKN2,-2.666521884,6.4151E-26
PLD1,2.060228466,2.01866E-10,CENPM,-2.659215794,5.61932E-35
KLK8,2.058951648,0.003877749,MCM7,-2.642532597,1.2958E-141
TSPYL2,2.054281602,1.61649E-11,SMC2,-2.638608282,3.95963E-39
DOCK3,2.053566357,0.002128977,CEP72,-2.638086685,2.76018E-16
LOC285830,2.050666757,0.001816788,FBXO5,-2.638029419,6.86767E-20
C13orf31,2.049522832,3.42566E-29,NPTX1,-2.633991412,4.67154E-06
HIST1H4H,2.045228341,1.16631E-05,NFKBIL2,-2.633858196,1.62354E-97
ACP6,2.043252647,9.80375E-10,CEP110,-2.63295036,1.02648E-30
RBM20,2.039106149,4.07052E-05,PSRC1,-2.629677339,2.82276E-66
MAP2,2.023773042,1.19996E-05,STARD8,-2.624874246,0.000213916
TCP11L2,2.020582054,2.60381E-05,POLA2,-2.620071449,1.09059E-65
HLA-DMA,2.017248767,8.10784E-08,AURKA,-2.61352934,1.3304E-108
PTPRE,2.01718944,4.76306E-11,INCENP,-2.613487714,5.60099E-86
TP53TG1,2.006497026,8.77173E-29,RECQL4,-2.609936927,5.5705E-108
HIST1H2AI,2.001841173,0.000133769,LMNB1,-2.600489069,7.8698E-132
