"C1" "C2" "C3" "C4" "C5" "C6" "C7" "C8" "C9" "C10" "C11" "C12" "C13" "C14" "C15" "C16" "C17" "C18" "C19" "C20" "C21" "C22" "C23" "C24" "C25" "C26" "C27" "C28" "C29" "C30" "C31" "C32" "C33" "C34" "C35" "C36" "C37" "C38" "C39" "C40" "C41" "C42" "C43" "C44" "C45" "C46" "C47" "C48" "C49" "C50" "C51" "C52" "C53" "C54" "C55" "C56" "C57" "C58" "C59" "C60" "C61" "C62" "C63" "C64" "C65" "C66" "C67" "C68" "C69" "C70" "C71" "C72" "C73" "C74" "C75" "C76" "C77" "C78" "C79" "C80" "C81" "C82" "C83" "C84" "C85" "C86" "C87" "C88" "C89" "C90" "C91" "C92" "C93" "C94" "C95" "C96" "C97" "C98" "C99" "C100" "C101" "C102" "C103" "C104" "C105" "C106" "C107" "C108" "C109" "C110" "C111" "C112" "C113" "C114" "C115" "C116" "C117" "C118" "C119" "C120" "C121" "C122" "C123" "C124" "C125" "C126" "C127" "C128" "C129" "C130" "C131" "C132" "C133" "C134" "C135" "C136" "N1" "C137" "C138" "C139" "N2" "C140" "C141" "C142" "N3" "N4" "N5" "N6" "R1" "N7" "N8" "N9" "N10" "N11" "N12" "N13" "N14" "N15" "N16" "N17" "N18" "N19" "N20" "N21" "N22" "N23" "N24" "N25" "N26" "R2" "R3" "R4"
"Beta-s" 0 0 3070.04 0 0 0 0 0 0 0 0 0 99.71 0 382.48 0 0 0 0 68.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 532.77 0 0 4.2 0 0 0 0 4.62 0 0 0 6.45 0 0 0 0 0 0 0 0 0 0 0 10.1 0 0 0 0 0 0 0 14.98 0 1286.07 8.46 0 0 111.29 150.85 5.35 0 0 0 74.28 0 0 0 0 0 0 0 2069.41 0 0 0 0 4.18 0 2607.93 0 0 0 0 0 0 0 22.11 0 0 0 0 5.06 0 0 0 3070.94 5.87 10.05 608.06 0 0 0 0 0 0 0 0 0 258.39 1409.66 0 600.86 0 0 0 12.53 0 0 0 2909.2 0 0 0 0 1063.89 0 0 0 0 0 0 122.61 348.88 0 1112.24 0 0 0 0 0 546.22 0 0 0 0 44.53 0 0 14.49 0 71083.16 1697.06 11.29 1354.68
"Ndufs8" 3.99 1668.6 4.27 1232.63 3181.81 1143.78 2.67 713.7 928.5 1974.1 1814.41 0 3.87 2603.65 4.37 3.54 8.54 4.26 0 29.78 0 4.53 64.02 10.05 3716.94 4.04 1984.26 1414.41 8.23 1.05 2444.81 1193.19 5.27 0 1470.87 28.46 1410.92 801.07 0 0 4.9 0 620.53 435.09 4.22 4.78 2.76 5.69 0 1035.28 1484.73 1714.58 741.92 838.92 931.18 0 0 7.43 3 10.33 509.16 0 1185.91 1229.09 730.25 0 0 1546.09 375.14 5.16 0 0 2.46 1.71 280.79 23.94 1246.81 0 1.86 9.01 0 1895.93 1.9 0 541.83 0 0 0 0 1130.71 674.01 20.5 1640.73 10.24 615.25 1446.27 3343.71 476.8 1095.48 19.39 6.85 26.64 1330.49 371.49 0 0 799.41 8.91 679.59 755.66 1112.95 512.31 1605.38 2824.05 0 5.85 145.17 480.04 0 0 507.28 3.46 785.54 0 0 1108.21 615.59 912.9 2301.86 2783.27 5.4 0 1033.89 2.88 0 2569.91 194.99 269.26 0 1319.1 0 0 0 8.57 2547.05 0 7.12 0 906.87 8.45 0 0 5.27 481.23 21.52 7.49 0 3.88 8.65 1.98 2060.22 0 0 0 4742.72 7.68 1088.46 2.35 19.07 549.25 1285.49 0
"Rps3" 2271.95 3.98 6.18 487.57 341.49 366.64 5.45 326.68 15.81 199.89 4.98 736.44 143.17 4.5 94.45 1790.07 4.12 284.74 3.8 464.33 687.11 3.69 480.12 4.84 3.79 455.09 590.92 284.96 781.68 1447.44 1583.27 793.85 8.9 5.21 577.68 6.87 5.49 1.9 499.7 2.07 445.09 1289.96 432.17 788.15 22.43 641.97 16.89 11.59 338.17 550.46 646.03 562.75 429.06 469.68 875.96 944.89 926.95 859.61 799.8 51.03 883.71 0 348.78 803.9 1220.49 5.26 234.94 0.74 235.25 4.21 565.81 135.57 1.78 2.16 926.99 744.48 3.53 4818.09 240.68 734.49 89.71 4.81 568.92 563.44 1012.69 4.06 1.46 494.7 20.15 309.47 401.41 7.45 0 0.82 575.06 534.74 28.1 6.86 2008.46 1.37 633.86 3.45 367.85 475.79 5.43 26.5 486.55 327.85 1477.88 637.02 1277.93 1256.82 148.16 4.7 529.6 7.16 10.27 226.3 783.81 2171.66 360.65 5.84 792.94 1632.19 293.66 1345.31 1079.83 267.53 2.67 894.81 1534.48 7.29 441.24 3.52 891.28 364.72 1002.7 244 1311.04 192.62 1121.5 413.97 536.35 10914.38 3.21 2.73 20.42 2374.5 1505.82 33.23 1250.14 405.59 3.23 615.51 7.79 480.17 379.2 0 1300.19 494.53 658.45 778.38 1221.89 6.25 1158.93 960.1 15.33 14.38 28.65 269.58 594.91 19.97
"Fos" 0 4.85 0 0 1.59 3.13 1.9 0 2.75 1741.03 2.88 1.92 0 6.85 1.83 1.48 10.75 1.51 0.83 0 10.16 15.25 2.98 5.62 5.49 415.34 4.29 4.23 1.73 5844.51 4.13 5.11 7.74 9.07 3.39 694.83 0.96 2.41 7.53 5.4 445.21 0 0 15252.67 4892.48 1.69 3100.55 12.1 4.27 0 3.91 2.66 1.34 4.31 1255.65 4.7 0 7.79 0 6.5 271.06 2.47 6.29 0 2.21 7.63 7.7 1544.18 2530.99 4.58 0 1.13 9000.32 2.43 0 37.02 0 5.89 803.92 2.36 8.67 1324.59 2.03 3.51 0 0 3.81 9.72 870.85 0.47 524.96 8.6 3.22 102.49 3600.46 603.91 0.48 0 277.34 2.56 0 204.63 21.52 98.75 6.76 2.06 492.75 9.34 52.27 6.19 2.48 0 794.26 1540.36 486 3702.54 443.49 265.84 13.26 3.17 676.29 2.9 0 0.79 1.05 1.98 0 5 0 188.7 1.13 0 8.19 435.71 1.25 0.57 0 51.91 1.09 220.78 587.87 0 0.81 18.24 3171.94 2.37 12.69 0 8.97 4.5 0 3464.52 6.54 11.43 4.51 3026.88 0 1.38 5815.77 9243.78 6.17 1.76 4.94 0 4.64 2.69 2017.2 4.17 3798.7 0.83 1.52 0.87
"Tsc22d1" 5.43 2.86 50.72 555.46 3.29 1324.11 2.61 418.62 7.58 486.06 216.45 1.77 1.89 861.2 546.85 0.95 3820.01 651.7 2.28 235.26 3.5 8.85 0.6 138.39 7.38 726.43 1637.24 139.74 0 1952.11 233.12 4.22 1213.16 4.69 70.06 3.74 13.45 927.84 7.01 4.96 1239.12 0.84 0 1.44 49.84 1309.42 20.23 15.48 0 2.17 1.08 0 746.24 1206.11 1.47 0 1.29 334.91 1459.36 211.98 2.54 3.4 19.49 2.94 1212.53 13.68 1256.83 516.92 1461.2 1907.83 0.92 3.11 347.63 1.67 188.26 1453.08 7.87 4.51 551.18 1694.07 8.96 668.55 2.79 0.9 1469.09 0.97 1.75 653.72 48.31 0.61 249.55 5.92 27.79 0 1110.49 0 1.98 6.17 34.86 3165.75 482.82 34.78 27.17 417.1 4.32 800.02 734.24 3235.73 2.84 115.04 2.05 645.63 399.26 8.45 2382.19 993.19 54.34 9.08 6.17 0 30.15 3.71 157.28 175.68 462.12 102.32 452.15 1.2 702.64 2.88 270.35 330.89 555.35 1.41 0.86 366.67 0 5.37 2206.73 1807.59 19.62 491.84 273.81 15.56 614.36 9.54 32.48 1437.98 7.66 4.13 5.61 1079.92 136.7 5.25 1367.71 2009.23 2562.13 0 447.9 3.6 1478.19 2.42 1103.43 10844.07 7071.57 0 1451.39 2.14 4520.42 0 382.68 0
"Paip2" 4.74 2.33 4.51 562.95 2.67 2.62 2536.84 512.67 3.08 1244.46 853.85 422.54 2366.97 3.28 775.88 509.15 5549.39 476.47 425.97 964.24 3799.18 2.69 0 3.54 5.53 1014.15 2.7 673.39 1010.92 0.63 2292.5 3.43 5.56 7.61 2237.94 1481.09 8.01 468.03 1.81 425.9 0 445.96 112.42 2.93 1.48 2076.16 1.64 0 537.81 454.81 2.62 0 0 1.45 0 0 25.13 5.22 1276.38 5.45 482.92 520.58 334.88 1123.32 1265.22 7.68 1250.17 87.92 4.3 1852.26 1297.68 3.79 122.19 38.75 487.89 8.47 1294.1 1.1 1083.16 4.75 3.64 0 472.32 2.35 294.72 448.36 0 452.52 646.15 1173.14 3.12 0 255.98 1.2 0.86 11.94 781.14 265.45 1051.24 102.9 2247.94 169.04 18.05 510.81 3720.87 63.3 80.5 2441.66 0 498.04 0.83 212.09 4.37 291.69 1424.11 2021.21 634.22 689.18 2.02 49.58 19.68 1150.2 1169.97 258.02 368.58 240.89 878.68 148 740 40.02 2467.94 0 1341.26 3.43 311.78 0.96 7.1 3.27 1.82 1.79 1932.26 1663.97 1.36 10.2 2208.45 3.98 38.32 0 421.5 2.51 13.66 1810.63 714.62 559.21 11.36 498.27 1504.9 868.39 0 5.9 979.77 1150.08 0 0 3468.98 0 77.24 578.08 0 0 335.23 53.92
"Ndufa6" 758.3 2370.96 2030.26 305.45 160.28 0 0 247.46 861.16 0 0 0 18.41 722.28 0 0 0 1986 0 586.63 800.77 1356.76 1220.87 0 0 193.34 0 0 995.94 1140.5 27.69 0 0 0 0 0 0 0 1111.54 941.91 0 953.08 743.89 815.71 2208.51 1106.08 814.03 0 57.34 909.1 0 0 143.94 0 0 0 303.25 20.9 726.95 29.07 766.73 0 1433.71 1439.94 977.62 0 0 8.57 0 12.28 456.99 0 332.75 578.66 887.53 22.57 0 0 111.06 310.49 1018.05 0 425.67 9.41 1878.18 1451.7 34.03 717.03 0 788.59 1496.47 0 0 547.66 781.73 1432.34 0 260.31 0 788.51 2678.1 1196.87 144.3 856.54 2718.69 2358.79 478.93 1102.63 313.64 423.14 0 1008.13 699.01 356.71 0 1845.15 0 0 630.39 0 518 9.73 873.36 677.12 7.05 0 1094.48 0 62.28 0 1002.91 0 1190.63 1582.38 1254.37 291.14 1475.66 1123.38 0 901.28 2021.79 666.29 0 0 3254.87 31.84 0 2539.22 902.76 985.13 491.54 544.77 563.89 613.16 2179.7 0 0 0 0 990.69 1241.82 683.8 13.27 0 1946.14 0 641.38 0 0 694.33 460.33 0
"Rpl5" 1.48 794.91 2.81 1000.64 365.25 405.61 1.98 8.05 435.88 0 4.53 689.65 4.31 0 383.76 2206.35 2647.7 9.49 4.33 601.81 7.98 5.04 1.56 525.36 0 672.73 0.56 7.96 39.68 1011.7 354.47 7.49 37.69 159.03 3.55 883.69 141.93 0 548.58 67.86 1226.71 468.04 1039.68 161.7 645.64 1.18 113.37 40.11 749.88 198.21 143.35 1969.1 205.43 593.24 258.98 0 1125.75 3.26 941.09 377.75 274.91 318.22 144.8 3.21 532.3 4.79 0 113.74 36.71 1470.27 522.58 129.58 0.54 315.22 829.33 2.64 698.15 1452.1 2.77 1520.73 4246.68 581.75 1150.11 680.53 392.75 549.43 2210.74 40.69 12.24 766.43 183.57 4.5 931.59 10.67 881.36 0 413.7 6.24 816.79 37.46 544.4 426.16 78.83 613.12 1418.5 157.71 7.51 1098.69 0.72 509.31 1013.25 738.1 662.59 6.42 579.04 9 368.49 4.6 1266.27 372.36 209.03 0.76 742.1 762.74 29.72 883.67 382.9 17.9 4.86 46.88 372.81 830.83 578.94 430.69 747.73 1.79 299.14 326.02 0 1755.94 0 3.25 496.23 11014.69 2.92 9.94 4575.15 798.88 36.01 1802.52 2027.82 520.49 993.85 213.34 98.75 228.93 1178.16 1545.49 879.77 3.68 423.18 370.04 776.42 5.71 44.92 560.61 867.44 1.75 64.79 61.34 285.71 658.35
"Tmbim6" 69.62 1270.91 2.74 2.04 362.6 3.26 927.85 883.54 303.05 1786.45 12.02 1819.04 4.66 1.6 496.41 5.67 917.35 1154.35 2.81 67.21 1622.63 6.14 1668.1 3.58 0 96.64 919.54 271.12 1157.25 0.63 1049.34 92.89 2335.64 663.39 863.9 633.37 226.35 919.13 395.77 1245.64 1.74 3.09 349.35 2.41 2821.45 332.53 2422.51 291.14 1.82 636.05 1.33 1806.53 253.95 368.67 0.45 3.19 171.05 57.81 2.71 196.89 55.24 1043.38 189.51 2.6 379.08 6.48 2187.77 323.25 654.3 7.78 222.66 653.8 42.14 7.74 54.11 7.14 1218.98 2085.32 277.21 3.15 64.46 1571.7 42.41 2.38 566.21 1909.95 236.23 674.58 19.85 1.61 707.96 9.13 9.56 3588.88 163.25 1834.94 0.41 3.8 1144.58 10.85 601.5 643.82 191.88 2.01 167.55 506.83 534.47 3825.71 446 94.04 0.42 334.33 1120.75 255.39 1073 1.04 1.89 3.73 2.06 3.59 996.26 1.85 4.15 11.4 76.49 341.38 0 17.98 3.94 1629.79 1.92 1845.08 259.21 2.6 0.53 27.83 3972.28 111.63 865.72 1389.95 733.81 26.37 2.07 13.95 0 12.71 15.53 5.52 2842.15 416.26 858.44 4.11 1454.33 7.29 3306.98 2.67 759.95 683.68 18.77 9.15 791.24 4.48 73.91 9.25 2.96 929.3 793.05 1845.2 682.25 996.01 699.46 0.74
"Itm2a" 3.92 0 2.48 0 1.1 0 0 1.07 1.27 3.14 67.91 0.89 3.8 0 0.64 1.03 2.48 0 0 0 1.76 1.11 6.2 4.87 0 1.17 0 2.34 50.25 0.52 8.58 1.16 0 1.57 0 0 5.29 0 0 0 0 1.68 0 1219.92 2.45 0 1.36 2.79 2.96 2.18 0 0 1.86 0 0 2.6 0 10.8 0 1.5 0 3.42 2.18 2.13 0 0 0 0 0 0 0 0 2.15 0.84 3.02 2.33 0 0.91 0 1.31 0 0 1.87 0 1622.21 1.96 3.52 1342.92 8.1 0 0 5.96 0 0 0 0 212.14 2.07 4.38 0 1.99 0 7.45 1.64 0.94 0.95 0.9 1325.45 0 0.86 0 0 1.81 0 1.99 0 646.7 0 6.68 0 0.68 3.01 1.07 0 0.73 0 0 29.28 0 0.58 0 0 0 0.71 1.73 0 0 0 0 5064.28 42.48 397.93 1.13 16.85 16239.05 6.58 2321.51 3521.08 0 18741.57 5.64 3.41 3.88 0 8866.16 0 0 0 12.75 1.95 1366.69 3.65 2.74 15648.58 0.8 0 436.52 1.16 15692.57 0 0.84 1.2
"Snrpe" 1309.51 1440.23 0 370.16 0 21.95 3407.3 647.48 489.28 0 0 18 0 632.22 128.7 0 0 1060.49 23.22 584.74 0 0 3183.97 2288.05 30.83 71.42 0 617.08 0 0 0 0 0 31.83 1190 1722.23 321.84 248.32 0 0 0 1142.44 1038.08 264.95 0 0 27.48 3793.39 0 0 0 0 0 0 0 0 525.83 43.76 745.92 0 453 34.68 0 947.29 1519.27 0 0 0 0 0 262.59 793.54 0 4247.92 428.71 141.72 0 0 166.92 0 0 1683.51 18.96 1713.14 1290.93 0 0 0 0 1674.13 0 0 1700 0 1449.73 1726.24 1305.63 0 29.6 0 967.92 2348.74 251.72 1178.68 0 0 0 0 1544.73 1906.12 0 1443.84 1060.8 0 1389.08 0 959.33 0 0 3512.19 150.98 0 3612.76 22.15 2892.61 1113.03 2144.06 580.06 0 975.39 763.39 2607.78 0 0 3168.32 112.26 0 0 0 748.65 0 348.67 1757.28 0 0 0 0 0 0 462.35 0 0 26.23 0 63.37 0 0 734.45 0 19.75 0 1381.99 2138.06 0 0 150.82 0 468.54 0 1195.53 0 1780.57
"Gm12191" 0 22.08 0 991.27 0 0 170.89 0 0 0 454.04 0 0 0 63.75 236.13 0 1245.96 0 0 441.06 0 0 0 0 198.19 0 0 0 0 3493.88 0 0 0 0 0 0 0 1499.45 0 0 0 790.1 258.27 28.2 2920.18 0 0 0 1224.7 0 0 208 0 0 0 51.96 3113.26 836.19 0 392.89 1242.66 0 0 0 0 0 0 1615.24 0 2435.81 6364.97 2268.74 1859.64 1483.79 375 2588.32 20.85 1249.84 127.57 0 0 21.51 0 0 39.03 0 0 0 0 921.4 0 0 0 2585.73 0 0 0 90.38 0 0 18.39 0 0 0 0 1066.67 0 0 825.94 822.53 1492.42 210.49 0 0 743.41 0 0 0 77.7 186.95 1750.94 0 237.66 1587.33 3583.86 788.27 762.64 2462.47 0 666.62 0 294.47 16.27 713.04 0 0 775.42 0 2176.49 0 83.27 2518.21 0 3475.78 0 3627.14 0 0 0 0 242.01 389.24 0 2782.67 0 1779.77 17.49 3799.96 0 776.55 1700.73 2468.75 0 0 0 973.79 0 1342.68 618.69 973.99 1678.86
"Ndufb7" 0 2225.18 0 1604.79 205.13 993.23 0 105.56 472.33 0 395.92 77.02 23.56 605.02 676.72 1808.92 1045.48 103.74 4373.22 250.26 43.61 0 1485.62 12.06 0 1018.88 800.92 333.75 1673.81 0 1027.68 0 0 0 0 158.41 426.35 414.07 110.85 927.31 855.19 719.34 912.36 0 0 0 1461.87 0 0 2069.87 268.4 22.87 990.12 133.27 771.94 726.07 353.64 0 18.24 539.48 253.22 0 350.78 974.07 1345.93 0 0 1711.63 1262.81 990.16 940.35 1533.13 0 510.91 923.65 1169.73 52.76 0 663.34 0 707.28 765.99 0 457.49 0 0 3135.87 0 1605.24 0 973.54 369.1 312.73 98.37 1211.07 11.11 938.16 0 0 0 0 618.59 61.56 0 811.85 400.11 22.29 0 11.81 837.51 0 628.12 156.55 0 0 0 459.02 678.83 0 1096.33 318.88 0 13.31 798.87 812.08 425.01 677.76 1942.51 2550.75 107.77 213.92 253.65 1132.7 35.07 888.29 117.66 677.94 0 0 1190.07 570.12 0 0 0 1771.56 40.75 1830.19 0 1360.74 0 838.76 0 0 0 2750.83 0 1707.12 0 0 2306.33 935.9 1765.34 0 0 657.53 9.22 0 644.55 233.47 1175.25 260.67 1058.81
"Rpl31-ps12" 85.14 0 2731.24 1051.06 0 23.64 1281.81 630.49 0 0 0 38.63 0 0 0 6.72 0 232.56 0 1004.99 0 0 1928.71 0 33.07 0 0 26.58 0 11.23 0 0 0 0 51.06 1435.99 0 0 1166.92 0 0 2065.04 1365.17 56.09 0 1961.66 0 0 0 960.39 0 0 0 0 1127.32 0 0 2487.7 0 0 472.15 0 0 0 2252.86 0 0 0 0 0 1564.37 1216.62 0 0 1365 0 0 0 1651.54 0 0 42 1075.07 0 945.22 973.04 0 0 0 0 1420.39 0 0 4661.47 0 0 0 135.14 0 0 0 1067.47 57.87 1127.19 0 889.19 0 0 1304.95 0 0 1041.3 0 2894.6 1328.07 2256.61 512.18 0 0 1139.31 206.13 0 503.2 731.58 1060 3753.5 317.11 552.49 0 0 1115.29 0 334.45 0 692.52 0 21.14 1242.25 0 975.55 0 5298.66 1550.91 0 1337.8 0 10192.63 0 0 90.27 0 0 0 0 0 0 1907.42 0 0 0 2348 0 0 0 2414.33 0 26.67 991.6 2042.64 0 283.63 988.77
"Nkain4" 5.46 2672.56 3007.99 584.05 2050.82 2.52 3.67 2532.02 1272.28 2254.14 2041.45 831.18 4.43 3.78 1.48 14.34 0 5.84 3.2 1061.53 9.82 2.59 0 192.64 263.19 358.33 0 2056.12 46.73 4.33 3950.68 6.59 0 8.77 0 0 3.69 2393.88 4.16 1109.49 270.06 2.35 0 2.7 3.42 7.29 2548.29 7.82 0 0 4312.59 0 1278.97 153.4 5.18 2744.09 256.77 1553.47 4.11 8.38 0 302.31 192.69 1718.05 0 0 1372.93 1276.33 0 3845.53 0 8.74 2570.49 0 0 227.96 664.93 3194.25 3.2 2076.15 4344.25 1776.87 1496.42 1208.15 175.14 1503.13 4.9 3.13 3299.47 633.22 1.5 8.31 13.41 1636.05 0 1409.27 7.73 17.31 0 3215.67 1672.81 887.11 20.8 4.57 4.36 493.18 6.28 0 0 0 1.6 0 8.41 0 1304.57 1086.11 2.87 16.99 4.66 156.65 518.83 0 5 0 335.75 3.19 10.18 22.72 0 1639.19 7.31 926.21 1.52 31.3 2.41 4.42 0 86.59 16.79 99.78 0 84.02 2432.09 9.81 0 0 9.81 0 979.35 0 6.57 11.91 0 12.29 0 5.07 0 0 19.79 2.27 0 8.51 0 0 2.24 0 3.42 0 0 3.23 685.82 0
"Atp6v0b" 765.77 2.05 7.96 1223.22 1500.11 1307.96 2.81 1053.76 1626.6 1363.53 4.27 660.38 4.06 2.9 6.79 0 5.3 697.82 4.9 18.5 1703.19 0 1077.95 2.08 1573.54 733.05 1.59 0 1226.98 3.31 0 9.08 13.1 1433.73 10.04 1.61 0 695.12 0 1514.13 1.52 0 0 3.1 2.62 0 124.62 17.91 272.11 0 4.63 2149.47 1.99 2553.9 4.76 2.78 2.77 2288.58 0 590.36 986.79 3.66 1430.36 6.81 1299.78 4.52 5.7 5.68 5.07 2.71 0 3.35 1.53 1.8 344.45 9.96 0 3.88 7.82 2.8 89.87 3385.43 359.56 296.93 2190.45 0 0 2.4 2958.99 1207.44 4.13 6.37 1.59 0 9.08 1182.25 2828.83 0 3.12 7.57 0 676.99 21.24 635.52 2 2.03 820.74 1880.71 0 1.83 926.79 0 312.45 0 2.12 3.64 26.39 1255.38 1569.86 1.56 539.72 0 1136.02 2.34 775.02 433.96 0 697.87 0 4.96 697.67 6.25 1110.55 3.02 915.57 0 183.67 2453.45 2273.32 22.1 2768.42 4.6 772.52 36.01 8.26 7.03 0 0 819.21 0 2586.48 1238.93 2.77 124.07 0 3913.46 0 3681.03 0 1143.37 3.05 1033.06 1139.02 16.12 87.64 4206.63 39.33 17.29 0 133.44 574.59 2929.62
"Psenen" 0 0 2432.22 0 679.9 825.08 0 155.07 853.96 0 0 636.53 0 0 874.93 5.76 3002.07 0 969.07 0 9.86 0 2755.41 0 1559.14 947.36 0 6.56 0 0 3780.1 404.47 0 0 1788.95 635.98 2373.32 1129.17 334 0 3.98 900.01 627.53 8.14 734.92 1095.58 0 0 16.58 813.27 2547.6 971.58 780.57 756.29 4.15 466.74 7.27 909.51 857.51 0 329.06 0 365.88 844.84 0 11.85 1105.68 962.08 1891.53 1484.63 1803.73 565.67 1303.25 0 304.34 489.54 1096.91 319.89 2.56 0 16.83 10.82 0 1175.39 1653.87 0 88.59 6.28 181.39 1677.5 340.19 0 4.16 2479.68 765.56 1129.83 848.08 2247.09 0 79.32 1114.56 625.77 27.82 0 10.48 1734 201.48 0 2880.18 499.14 1765.64 360.64 232.5 666.63 0 19.06 305.45 920.48 9.35 1187.86 754.78 1732.92 0 250.92 297.72 376.52 571.84 0 0 490.38 764.73 606 204.18 737.02 1281.89 1254.22 10.94 732.94 0 719.96 0 770.84 0 0 0 18.42 19.7 0 0 104.67 0 9.55 0 0 0 902.35 0 662.3 2522.71 0 686.41 0 0 0 0 329.26 735.15 0 6.21 6.48 200.3 0
"Tpi1" 0 1346.99 1.27 230.17 185.85 562.47 1159.82 8.75 5.22 0 2.05 2308.54 2727.5 1878.75 1358.23 2.11 7.64 752.25 2.35 497.78 1.81 346.53 4.25 2339.49 140.84 57.9 488.31 1232.55 1186.42 819.62 1139.33 444.93 9.44 1761.16 1415.65 2.32 3228.69 2.29 813.98 5.12 1.46 419 677.16 1412.99 2.52 568.04 158.74 20.08 1213.14 3.36 0 54.96 1456.86 7.36 1.52 1943.24 1.33 4.43 1895.66 7.71 1044.35 1.76 122.98 282.52 923.28 4.34 8.22 1052.89 890.71 122.39 80.78 796.06 1.47 22.47 858.5 1245.05 708.28 2.79 4.04 4.03 9.25 0 1312.05 4.99 0 1.01 1083.91 1000.09 0 1085.88 0 12.23 0.76 1.02 882.95 0 659.71 307.93 4.5 1185.29 0 0.61 43.36 1.68 9.61 1982.58 0 5.32 449.62 1149.52 992.35 2.81 769.06 0 1.02 1.75 312.76 940.68 1799.95 4.5 714.85 425 346.24 504.92 0.75 856.56 921.1 647.2 6.61 616.2 467.35 15.01 1715.83 1277.16 415.06 5.69 4.01 367.12 0 2061.82 0 2.21 1.16 8.65 0 3.38 21.67 153.22 4.26 1230.27 5.79 3431.5 1726.3 1414.37 22.47 223.56 1.49 29.38 2055.14 7 728.74 924.01 5.63 7.74 2482.54 2.29 1.26 638.58 1.14 1794.6 1595.06 1040.27
"Atp6v0c-ps2" 113.84 908.04 8.71 400.29 27.11 49.41 161.13 284.96 554.29 929.62 922.24 690.36 4422.74 14.28 702.04 3419.39 17.42 82.41 367.62 599.48 15.44 59.22 380.57 20.49 721.05 899.87 800.82 2406.82 1989.16 854.83 0 812.48 29.57 445.84 1425.83 7.92 558.05 5.86 113.4 1867.06 255.13 577.49 0 1048.86 472.48 9.61 2239.49 514.66 5.2 1028.39 1655.24 1626.43 399.27 838.27 386.25 9.14 0 0 573.44 692.54 56.19 369.31 852.78 394.09 0 1026.41 360.43 1336.95 367.59 1534.77 1455.83 709.93 2.51 0 0 1325.13 1586.85 76.44 87.77 967.43 2300.35 802.54 29.54 921.82 223.52 1010.71 6.17 0 1065.48 309.95 52.74 125.43 440.57 640.17 250.65 359.3 464 682.3 614 2327.47 3.49 1099.48 759.15 5.33 8.21 427.2 763.86 70.53 0 380.55 93.89 571.93 503.96 109.39 30.39 0 346.92 21.36 11.72 271.27 37.37 1663.16 482.08 51.77 238.15 24.07 0 415.13 0 390.92 0 1353.9 1032.21 474.66 777.63 9.72 847.13 2058.94 1228.05 1444.11 5.12 41.5 746.68 29.56 0 23.08 55.53 23.8 841.72 10.93 19.79 852.36 13.62 368.75 27.43 667.88 7.63 247.38 0 680.51 822.46 565.93 51.64 0 2.82 1839.07 0 318.67 7.78 760.87 133.69 722.78
"Tmx2" 3.06 2.25 3.88 565.15 474.5 0 2701.19 404.09 3.97 2902.96 3.22 1021.45 5.94 1.06 1.98 1357.39 5.81 722.31 1521.18 6.76 1491.68 275.26 5523.37 3.04 4.75 4.59 0.73 6.48 1105.52 2.02 4.47 8.54 4.7 2192.59 14.67 106.3 1467.32 1007.7 2.33 1590.79 260.67 0.66 1587.12 5.67 5.74 1.83 2963.55 4.36 2841.34 1050.96 0.85 4.8 2.18 433.85 4.05 2.03 1.01 581.55 1.15 8.21 1.5 2.67 1686.61 2.49 693.17 3.3 8.39 0 0.93 0.99 372.85 799.73 591.44 1.97 173.02 11.99 26.6 2.12 575.88 3.07 23.34 1700.7 1740.66 1.52 1109.93 741.02 1.37 2.63 3084.96 87.18 23.13 2935.01 1.74 0.77 531.4 2060.87 0 3.23 1613.55 1389.96 4.66 1035.38 69.64 390.51 5.85 36.33 819.36 2182.5 3.45 2.68 1.07 3.21 858.21 6.66 1088.98 3.99 1030.79 0 5.21 3.43 35.93 2.35 0.84 1.71 727.74 2.14 726 379.95 5.02 170.68 3.68 11.42 707.35 799.2 2.02 0.62 7.88 518.26 5180.4 785.63 0 26.86 0.88 13.15 0 12.84 5.49 7.06 946.38 1.62 4.4 5.27 1979.17 1168.15 2.44 1421.08 1143.59 0 13.27 30.43 237.43 1045.79 4.28 5.89 0.63 3225.25 720.28 3.61 2.6 2696.61 1228.93 1543.83
